RSK_ELMN_NM,RSK_ELMN_GRD,RN_1HR,AIRTP,LOT,LAT,LOTNO_ADDR,ROAD_NM_ADDR
SF20302,F,.5,0,127.2411077968,38.2422032925,강원특별자치도 철원군 동송읍 대위리 365-1,강원도 철원군 동송읍 오덕로 397 
SF20302,J,.5,-1,127.3949187022,38.1682972553,강원특별자치도 철원군 서면 자등리 산 139-1,강원도 철원군 철원읍 태봉로 666-49 
SF20304,J,.5,-1,127.4275786293,38.1675474725,강원특별자치도 철원군 서면 자등리 797,강원도 철원군 철원읍 태봉로 356 삼성아파트
SF20302,J,.5,-1,127.391195904,38.168968752,강원특별자치도 철원군 서면 자등리 산 138-3,강원도 철원군 철원읍 태봉로 666-17 
SF20302,J,.5,-1,127.4175447075,38.1867107996,강원특별자치도 철원군 서면 자등리 524-1,강원도 철원군 서면 석현동1길 15-3 
SF20302,J,.5,-1,127.3912416748,38.1690053837,강원특별자치도 철원군 서면 자등리 산 138-3,강원도 철원군 서면 태봉로 666-17 
SF20302,J,.5,-1,127.4146768052,38.1711059914,강원특별자치도 철원군 서면 자등리 666-3,강원도 철원군 서면 삼성길 20-24 현진농장
SF20302,J,.5,-1,127.4195428766,38.204562285,강원특별자치도 철원군 서면 자등리 288-4,강원도 철원군 서면 금강로 7685 
SF20302,F,1,0,127.4755814305,38.2530748261,강원특별자치도 철원군 근남면 사곡리 180-9,강원도 철원군 근남면 호국로 7015 
SF20304,J,.5,-1,127.4708101075,38.1155858529,강원특별자치도 화천군 사내면 광덕리 1035-10,강원도 화천군 사내면 하오재로 464
SF20306,J,.5,-2,128.0037935004,38.194577443,강원특별자치도 양구군 양구읍 도사리 산 112-2,강원도 양구군 방산면 평화로 6322
SF20304,J,.5,-3,128.0051518839,38.2051016652,강원특별자치도 양구군 방산면 고방산리 55-3,강원도 양구군 평화로 6128 
SF20304,J,.5,-1,128.107709705,38.2601354393,강원특별자치도 양구군 해안면 만대리 2643,강원도 양구군 펀치볼로 940 
SF20304,F,.5,0,127.1430897326,37.4486750941,경기 성남시 수정구 태평동 1,경기도 성남시 수정구 남문로 148
SF20302,F,.5,0,127.1519996828,37.4596156878,경기 성남시 수정구 산성동 2226-2,경기도 성남시 수정구 수정로 402
SF20302,F,.5,0,127.1702473001,37.463547737,경기 성남시 수정구 양지동 877,경기도 성남시 중원구 순환로 467
SF20306,E,.5,3,127.13813088,37.4567460146,경기 성남시 수정구 복정동 494,경기도 성남시 수정구 가마절로 48
SF20304,F,.5,0,127.1866287994,37.4313306494,경기 성남시 중원구 상대원동 405-1,경기도 성남시 중원구 순암로 787
SF20304,J,.5,-1,126.9917066989,37.4528727003,경기 과천시 과천동 산 98-10,경기도 과천시 남태령옛길 73 
SF20302,J,.5,-1,127.2984292423,37.5264389387,경기 남양주시 조안면 조안리 산 155-17,경기도 남양주시 다산로 604 
SF20302,J,.5,-2,127.6000639474,37.51891679,경기 양평군 용문면 덕촌리 117-1,경기도 양평군 용문면 용문산로 247
SF20302,F,.5,2,127.6058794351,35.4480695665,전북 남원시 인월면 중군리 42-2,전라북도 남원시 산내면 천왕봉로 214
SF20302,F,.5,2,127.6094799955,35.4545899515,전북 남원시 인월면 상우리 580,전라북도 남원시 산내면 천왕봉로 143 지리산구룡관광호텔
SF20304,F,.5,1,127.5565248875,35.1681266093,전남 구례군 간전면 흥대리 1152-11,전라남도 구례군 간전면 흥대길 19-26 주택
SF20302,F,.5,1,127.4881877984,35.2278552791,전남 구례군 마산면 마산리 479-6,전라남도 구례군 마산면 화엄사로 205 작업장
SF20306,E,.5,3,127.1042990977,37.5451277225,서울 광진구 광장동 237,서울특별시 광진구 천호대로 813 신성빌딩
SF20302,F,.5,0,127.0049033317,35.0428638892,전남 화순군 화순읍 다지리 산 15,전라남도 화순군 화순읍 지실길 15
SF20306,F,.5,6,128.3647605461,35.1311267481,경남 창원시 마산합포구 진전면 봉암리 175-3,경상남도 창원시 마산합포구 진전면 진전봉암길 17-7  진전봉암길 17-7
SF20304,F,.5,0,127.7716787532,35.2806654759,경남 산청군 시천면 중산리 산 9-5,경상남도 산청군 시천면 지리산대로 766 중산리벽계수민박
SF20304,F,.5,0,127.7618223682,35.2859706951,경남 산청군 시천면 중산리 303-1,경상남도 산청군 시천면 지리산대로 629 하나로리포스
SF20304,F,.5,0,127.7439065709,35.2699856713,경남 산청군 시천면 내대리 산 294-2,경상남도 산청군 시천면 삼신봉로506번길 39 하늘빛펜션
SF20302,F,.5,0,127.7745779855,35.2679118239,경남 산청군 시천면 동당리 705-3,경상남도 산청군 시천면 지리산대로966번길 65
SF20304,F,.5,2,127.9076158599,35.3467916419,경남 산청군 단성면 청계리 산 125-9,경상남도 산청군 산청읍 호암로 969-18 이갑열현대미술관
SF20302,F,.5,2,127.9347570061,35.2738927254,경남 산청군 단성면 남사리 344-1,경상남도 산청군 시천면 지리산대로 2885 예담촌전통찻집
SF20304,F,.5,2,127.9830858343,35.2766779018,경남 산청군 단성면 묵곡리 866-1,경상남도 산청군 단성면 성철로102번길 232-27
SF20304,F,.5,2,127.9019844887,35.2638857635,경남 산청군 단성면 창촌리 산 29-30,경상남도 산청군 단성면 옥단로2074번길 16-19
SF20302,J,.5,-1,124.7225993087,37.9522657578,인천광역시 옹진군 백령면 사곶로 123-19,인천광역시 옹진군 백령면 사곶로 123-19
SF20302,F,.5,1,128.5303094386,35.8683939752,대구 서구 상리동 463-13,대구광역시 서구 새방로29길 3 
SF20304,F,.5,1,128.6068178979,35.82865876,대구 남구 봉덕동 1617-1,대구광역시 수성구 신천동로 51 상동LPG충전소
SF20304,F,.5,1,128.5743657258,35.8579395248,대구 남구 대명동 2320,대구광역시 남구 성당로 282 
SF20304,F,.5,1,128.6386288315,35.8510561662,대구 수성구 범어동 93-87,대구광역시 수성구 청호로 377 
SF20304,F,.5,1,128.6442442106,35.827026325,대구 수성구 지산동 94-3,대구광역시 수성구 청호로 93 
SF20304,F,.5,1,128.5656919519,35.8570205355,대구 달서구 두류동 1338,대구광역시 달서구 야외음악당로 287-1 
SF20304,F,.5,1,128.5372371978,35.8501852699,대구 달서구 죽전동 338,대구광역시 달서구 와룡로 201 
SF20306,F,.5,1,128.6768419968,35.7214150239,대구 달성군 가창면 삼산리 산 181,대구광역시 달성군 가창면 팔조령길 415 팔조령산장휴게소
SF20304,F,.5,2,128.7597654119,37.6878248598,강원특별자치도 강릉시 성산면 어흘리 산 1-1,강원도 평창군 대관령면 대관령마루길 527-2 대관령기상관측소
SF20302,F,.5,5,130.8086040457,37.5128229221,경북 울릉군 서면 태하리 480-1,경상북도 울릉군 서면 학포길 166-77 
SF20302,F,.5,5,130.8058528694,37.5046069457,경북 울릉군 서면 태하리 산 144,경상북도 울릉군 서면 학포길 35-59
SF20302,F,.5,5,130.8029316181,37.4887212541,경북 울릉군 서면 태하리 619-6,경상북도 울릉군 울릉읍 울릉순환로 1704
SF20304,F,.5,2,128.7597654119,37.6878248598,강원특별자치도 강릉시 성산면 어흘리 산 1-1,강원도 평창군 대관령면 대관령마루길 527-2 대관령기상관측소 대관령마루길 527-2
SF20304,F,.5,1,128.855888841,37.611658836,강원특별자치도 강릉시 왕산면 목계리 산 183,강원도 강릉시 왕산면 들미골길 56
